"station","stationid","latcoord","loncoord"
"Cantrell Road, Bow",468,51.521564,-0.022694
"Lindfield Street, Poplar",469,51.513757,-0.020467
"Mostyn Grove, Bow",470,51.530535,-0.025492
"Hewison Street, Old Ford",471,51.533283,-0.028155
"Malmesbury Road, Bow",472,51.529452,-0.027616
"Millharbour, Millwall",473,51.496137,-0.019355
"Gascoyne Road, Victoria Park",474,51.541515,-0.038557
"Lightermans Road, Millwall",475,51.499041,-0.020157
"Stebondale Street, Cubitt Town",476,51.489096,-0.009205
"Spindrift Avenue, Millwall",477,51.49109,-0.018716
"Stepney Green Station, Stepney",478,51.521889,-0.04667
"Pott Street, Bethnal Green",479,51.527152,-0.058005
"Flamborough Street, Limehouse",480,51.512871,-0.038986
"Saunders Ness Road, Cubitt Town",481,51.487129,-0.009001
"Albert Gardens, Stepney",483,51.51328,-0.047784
"Bromley High Street, Bow",484,51.528828,-0.013258
"Old Ford Road, Bethnal Green",485,51.531127,-0.048017
"Granby Street, Shoreditch",486,51.525645,-0.069543
"Canton Street, Poplar",487,51.511811,-0.025626
"Reardon Street, Wapping",488,51.506946,-0.058681
"Pennington Street, Wapping",490,51.508622,-0.065006
"Queen Mary's, Mile End",491,51.522507,-0.041378
"Maplin Street, Mile End",492,51.525501,-0.032267
"South Quay East, Canary Wharf",494,51.50196,-0.016251
"Bow Church Station, Bow",495,51.528169,-0.018703
"Devons Road, Bow",496,51.52512,-0.015578
"Merchant Street, Bow",497,51.526578,-0.027581
"Bow Road Station, Bow",498,51.527058,-0.025296
"Furze Green, Bow",499,51.519265,-0.021345
"Ansell House, Stepney",500,51.520019,-0.05438
"Cephas Street, Bethnal Green",501,51.522561,-0.054883
"Bonner Gate, Victoria Park",502,51.53341,-0.049591
"Cleveland Way, Stepney",503,51.520893,-0.051394
"St. John's Park, Cubitt Town",504,51.496454,-0.009506
"Ackroyd Drive, Bow",505,51.520398,-0.026768
"Bell Lane, Liverpool Street",506,51.517475,-0.075855
"Clarkson Street, Bethnal Green",507,51.528692,-0.059091
"Fournier Street, Whitechapel",508,51.519362,-0.074431
"Fore Street, Guildhall",509,51.517842,-0.090075
"Westferry DLR, Limehouse",510,51.509303,-0.025996
"Sutton Street, Shadwell",511,51.511066,-0.053558
"Pritchard's Road, Bethnal Green",512,51.532091,-0.06142
"Watney Market, Stepney",513,51.514222,-0.055656
"Portman Square, Marylebone",514,51.516204,-0.155525
"Russell Gardens, Olympia",515,51.500088,-0.211316
"Chrisp Street Market, Poplar",516,51.5112,-0.014438
"Hurlingham Park, Parsons Green",774,51.470131,-0.20464
"Little Brook Green, Brook Green",775,51.496664,-0.223868
"Abyssinia Close, Clapham Junction",776,51.460333,-0.167029
"Limburg Road, Clapham Junction",777,51.461923,-0.165297
"Houndsditch, Aldgate",779,51.514449,-0.077178
"Imperial Wharf Station, Sands End",780,51.474665,-0.183165
"Victoria & Albert Museum, South Kensington",781,51.495898,-0.173009
"Halford Road, West Kensington",782,51.483911,-0.197609
"Monier Road, Hackney Wick",783,51.540311,-0.02163
"East Village, Queen Elizabeth Olympic Park",784,51.546326,-0.009935
"Aquatic Centre, Queen Elizabeth Olympic Park",785,51.54094,-0.01051
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",786,51.549369,-0.015717
"Timber Lodge, Queen Elizabeth Olympic Park",787,51.546805,-0.014691
"Copper Box Arena, Queen Elizabeth Olympic Park",788,51.544909,-0.020542
"Podium, Queen Elizabeth Olympic Park",789,51.538718,-0.011889
"Stratford Station, Stratford",790,51.541793,-0.00481
"Blackfriars Road, Southwark",792,51.505461,-0.10454
"Cromer Street, Bloomsbury",793,51.528279,-0.119558
"Victoria Rise, Clapham Common",794,51.461376,-0.147804
"Euston Square Gardens, Euston",795,51.527068,-0.131861
"Coram Street, Bloomsbury",796,51.524,-0.126409
"Ossulston Street, Somers Town",797,51.5293,-0.128279
"Birkenhead Street, King's Cross",798,51.530199,-0.122299
"Kings Gate House, Westminster",799,51.497698,-0.137598
"Sopwith Way, Battersea Park",800,51.481121,-0.149035
"Lavington Street, Bankside",801,51.505224,-0.098031
"Albert Square, Stockwell",802,51.47659,-0.118256
"Southwark Street, Bankside",803,51.505409,-0.098341
"Good's Way, King's Cross",804,51.534667,-0.125078
"The Metropolitan, Portobello",805,51.520509,-0.200804
"Handyside Street, King's Cross",806,51.53724,-0.124807
"Bevington Road West, North Kensington",807,51.5212,-0.208888
"Gauden Road, Clapham",808,51.464995,-0.130908
"Lincoln's Inn Fields, Holborn",809,51.516277,-0.118272
"Tate Modern, Bankside",810,51.506725,-0.098807
"Westferry Circus, Canary Wharf",811,51.505703,-0.027772
"Here East North, Queen Elizabeth Olympic Park",812,51.548731,-0.022606
"New Spring Gardens Walk, Vauxhall",813,51.487807,-0.122759
"Clapham Road, Lingham Street, Stockwell",814,51.471433,-0.12367
"Lambeth Palace Road, Waterloo",815,51.500089,-0.116628
"Here East South, Queen Elizabeth Olympic Park",816,51.546532,-0.020597
"Riverlight South, Nine Elms",817,51.481335,-0.138212
"Westminster Pier, Westminster",818,51.501513,-0.123823
"Belvedere Road 2, South Bank",819,51.50621,-0.114842
"Victory Place, Walworth",820,51.492807,-0.091938
"Battersea Power Station, Battersea Park",821,51.483507,-0.147714
"Allington Street, Victoria",826,51.496863,-0.142943
"Cranmer Road, Stockwell",827,51.479601,-0.111471
"Normandy Road, Stockwell",828,51.473874,-0.11258
"Wynne Road, Stockwell",829,51.469217,-0.112686
"Sidney Road, Stockwell",830,51.469202,-0.119022
"St John's Crescent, Brixton",831,51.466232,-0.113179
"Ferndale Road, Brixton",832,51.464019,-0.115781
"Saltoun Road, Brixton",833,51.460232,-0.115375
"Gas Holders, Battersea Park",834,51.477966,-0.147857
"Farringdon Street, Holborn",835,51.516785,-0.104947
"York Way, Kings Cross",836,51.541596,-0.125441
"Fore Street Avenue, Guildhall",838,51.518093,-0.091401
"Sea Containers, South Bank",839,51.508033,-0.106823
"George Row, Bermondsey",840,51.498585,-0.068981
"Tower Wharf, Bermondsey",841,51.500845,-0.074704
"Temple Gardens, Temple",842,51.510981,-0.108322
"Canada Water Station, Rotherhithe",844,51.498439,-0.04915
"Bermondsey Station, Bermondsey",845,51.497995,-0.063471
"River Street , Clerkenwell",1,51.529163,-0.10997
"Phillimore Gardens, Kensington",2,51.499606,-0.197574
"Christopher Street, Liverpool Street",3,51.521283,-0.084605
"St. Chad's Street, King's Cross",4,51.530059,-0.120973
"Sedding Street, Sloane Square",5,51.49313,-0.156876
"Broadcasting House, Marylebone",6,51.518117,-0.144228
"Charlbert Street, St. John's Wood",7,51.5343,-0.168074
"Maida Vale, Maida Vale",8,51.529857,-0.183486
"New Globe Walk, Bankside",9,51.507385,-0.09644
"Park Street, Bankside",10,51.505974,-0.092754
"Brunswick Square, Bloomsbury",11,51.523951,-0.122502
"Malet Street, Bloomsbury",12,51.52168,-0.130431
"Scala Street, Fitzrovia",13,51.519914,-0.136039
"Belgrove Street , King's Cross",14,51.529943,-0.123616
"Great Russell Street, Bloomsbury",15,51.517727,-0.127854
"Cartwright Gardens , Bloomsbury",16,51.526357,-0.125979
"Hatton Wall, Holborn",17,51.521661,-0.109006
"Drury Lane, Covent Garden",18,51.51477,-0.122219
"Taviton Street, Bloomsbury",19,51.52505,-0.131161
"Drummond Street , Euston",20,51.527326,-0.136052
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806
"Northington Street , Holborn",22,51.522264,-0.114079
"Red Lion Square, Holborn",23,51.519435,-0.119123
"British Museum, Bloomsbury",24,51.51908,-0.124678
"Doric Way , Somers Town",25,51.528833,-0.13225
"Ampton Street , Clerkenwell",26,51.52728,-0.118295
"Bouverie Street, Temple",27,51.513821,-0.107927
"Bolsover Street, Fitzrovia",28,51.523518,-0.143613
"Hereford Road, Bayswater",29,51.513735,-0.193487
"Windsor Terrace, Hoxton",30,51.529154,-0.093421
"Fanshaw Street, Hoxton",31,51.529537,-0.083353
"Leonard Circus , Shoreditch",32,51.524696,-0.084439
"Pancras Road, King's Cross",34,51.534123,-0.129386
"De Vere Gardens, Kensington",36,51.501737,-0.18498
"Penywern Road, Earl's Court",37,51.491593,-0.192369
"Abingdon Villas, Kensington",38,51.497387,-0.197245
"Shoreditch High Street, Shoreditch",39,51.526377,-0.07813
"Commercial Street, Shoreditch",40,51.52127,-0.075578
"Pindar Street, Liverpool Street",41,51.520955,-0.083493
"Wenlock Road , Hoxton",42,51.530991,-0.093903
"Crawford Street, Marylebone",43,51.52026,-0.157183
"Bruton Street, Mayfair",44,51.510736,-0.144165
"Boston Place, Marylebone",45,51.522511,-0.162298
"Nesham Street, Wapping",46,51.507131,-0.06691
"Warwick Avenue Station, Maida Vale",47,51.523344,-0.183846
"Godliman Street, St. Paul's",48,51.512484,-0.099141
"Curzon Street, Mayfair",49,51.507069,-0.145904
"East Road, Hoxton",50,51.528673,-0.087459
"Finsbury Library , Finsbury",51,51.526717,-0.104298
"Roscoe Street, St. Luke's",52,51.522954,-0.094934
"Grafton Street, Mayfair",53,51.509992,-0.143495
"Golden Lane, Barbican",54,51.521747,-0.094475
"Finsbury Circus, Liverpool Street",55,51.517075,-0.086685
"Paddington Street, Marylebone",56,51.520583,-0.154701
"Guilford Street , Bloomsbury",57,51.523346,-0.120202
"New Inn Yard, Shoreditch",58,51.524526,-0.079248
"Lisson Grove, St. John's Wood",60,51.526448,-0.17219
"Great Dover Street, The Borough",61,51.497382,-0.089446
"Cotton Garden Estate, Kennington",62,51.490757,-0.106323
"Murray Grove , Hoxton",63,51.53089,-0.089782
"William IV Street, Strand",64,51.509462,-0.124749
"Gower Place , Euston",65,51.525227,-0.135188
"Holborn Circus, Holborn",66,51.51795,-0.108657
"Hatton Garden, Holborn",67,51.518825,-0.108028
"Theobald's Road , Holborn",68,51.520596,-0.116688
"Euston Road, Euston",69,51.526236,-0.134407
"Calshot Street , King's Cross",70,51.53136,-0.117069
"Newgate Street , St. Paul's",71,51.515418,-0.09885
"Farringdon Lane, Clerkenwell",72,51.52352,-0.10834
"Old Street Station, St. Luke's",73,51.52548,-0.089659
"Vauxhall Cross, Vauxhall",74,51.485917,-0.124469
"Torrens Street, Angel",75,51.532199,-0.10548
"Longford Street, The Regent's Park",76,51.525595,-0.144083
"Russell Square Station, Bloomsbury",77,51.523418,-0.124121
"Sadlers Sports Centre, Finsbury",78,51.524868,-0.099489
"Webber Street , Southwark",80,51.500693,-0.102091
"Great Titchfield Street, Fitzrovia",81,51.520253,-0.141327
"Chancery Lane, Holborn",82,51.514274,-0.111257
"Panton Street, West End",83,51.509639,-0.13151
"Breams Buildings, Holborn",84,51.515937,-0.111778
"Pembridge Villas, Notting Hill",337,51.511084,-0.197524
"Wellington Street , Strand",338,51.511756,-0.119643
"Risinghill Street, Angel",339,51.533319,-0.111781
"Bank of England Museum, Bank",340,51.514441,-0.087587
"Craven Street, Strand",341,51.508103,-0.126021
"London Zoo Car Park, The Regent's Park",343,51.536922,-0.150181
"Goswell Road (City Uni), Finsbury",344,51.528246,-0.101026
"Flood Street, Chelsea",345,51.488023,-0.166878
"Lower Marsh, Waterloo",347,51.500139,-0.113936
"Grosvenor Square, Mayfair",348,51.51217,-0.150481
"St. George Street, Mayfair",349,51.51196,-0.142783
"Queen's Gate, Kensington Gardens",350,51.501715,-0.179854
"Macclesfield Rd, St Lukes",351,51.529423,-0.097122
"Vauxhall Street, Vauxhall",352,51.486965,-0.116625
"Greycoat Street , Westminster",353,51.494591,-0.134234
"Northumberland Avenue, Strand",354,51.506767,-0.123702
"Clapham Common Station, Clapham Common",355,51.461388,-0.139221
"South Kensington Station, South Kensington",356,51.494412,-0.173881
"Howland Street, Fitzrovia",357,51.520994,-0.139016
"High Holborn , Covent Garden",358,51.516226,-0.124826
"Butler Place, Westminster",359,51.497829,-0.13544
"Howick Place, Westminster",360,51.496753,-0.138733
"Waterloo Station 2, Waterloo",361,51.503919,-0.113426
"Royal College Street, Camden Town",362,51.536264,-0.133952
"Store Street, Bloomsbury",364,51.519572,-0.13214
"City Road, Angel",365,51.530344,-0.100168
"Millennium Hotel, Mayfair",366,51.510919,-0.151126
"Harrowby Street, Marylebone",367,51.517372,-0.164207
"Harriet Street, Knightsbridge",368,51.500241,-0.15934
"Paddington Green, Paddington",370,51.520205,-0.174593
"King Edward Walk, Waterloo",371,51.49775,-0.10988
"Sardinia Street, Holborn",372,51.515208,-0.117863
"Prince Consort Road, Knightsbridge",373,51.499806,-0.176415
"Waterloo Station 1, Waterloo",374,51.504027,-0.113864
"Kensington Town Hall, Kensington",375,51.501945,-0.194392
"Millbank Tower, Pimlico",376,51.491884,-0.125674
"Waterloo Bridge, South Bank",377,51.505354,-0.113656
"Natural History Museum, South Kensington",378,51.495592,-0.179077
"Turquoise Island, Notting Hill",379,51.514311,-0.200838
"Stanhope Gate, Mayfair",380,51.506864,-0.150666
"Charlotte Street, Fitzrovia",381,51.51953,-0.135777
"Farm Street, Mayfair",382,51.509351,-0.147449
"Frith Street, Soho",383,51.513103,-0.131213
"Marloes Road, Kensington",384,51.496481,-0.192404
"Moor Street, Soho",386,51.513527,-0.13011
"Fire Brigade Pier, Vauxhall",387,51.493699,-0.121394
"Southampton Street, Strand",388,51.510701,-0.121723
"Upper Grosvenor Street, Mayfair",389,51.51013,-0.155757
"Buxton Street 1, Shoreditch",390,51.521776,-0.068856
"Clifford Street, Mayfair",391,51.510662,-0.142345
"Imperial College, Knightsbridge",392,51.499428,-0.179702
"Snow Hill, Farringdon",393,51.517334,-0.103604
"Aberdeen Place, St. John's Wood",394,51.524826,-0.176268
"Cadogan Gardens, Chelsea",395,51.492462,-0.159919
"Shouldham Street, Marylebone",396,51.51809,-0.163609
"Devonshire Terrace, Bayswater",397,51.51348,-0.17977
"Holland Park, Kensington",398,51.502319,-0.200742
"Brick Lane Market, Shoreditch",399,51.522617,-0.071653
"George Street, Marylebone",400,51.517703,-0.154106
"Columbia Road, Shoreditch",401,51.528187,-0.075375
"Penfold Street, Marylebone",402,51.522892,-0.171681
"George Place Mews, Marylebone",403,51.516892,-0.158249
"Palace Gate, Kensington Gardens",404,51.502042,-0.1844
"Gloucester Road Station, South Kensington",405,51.494185,-0.18267
"Sun Street, Liverpool Street",408,51.520009,-0.083935
"Strata, Elephant & Castle",409,51.493146,-0.099828
"Edgware Road Station, Marylebone",410,51.519968,-0.169774
"Rotherhithe Roundabout, Rotherhithe",411,51.499169,-0.055846
"Cleaver Street, Kennington",412,51.488105,-0.110121
"Chelsea Bridge, Pimlico",419,51.485821,-0.149004
"Southwark Station 1, Southwark",420,51.504043,-0.105312
"Southwark Station 2, Southwark",421,51.504044,-0.104778
"Eaton Square (South), Belgravia",423,51.494561,-0.153933
"Ebury Bridge, Pimlico",424,51.490491,-0.149186
"Vincent Street, Pimlico",426,51.493072,-0.129925
"Cheapside, Bank",427,51.51397,-0.09294
"Exhibition Road, Knightsbridge",428,51.499917,-0.174554
"South Parade, Chelsea",430,51.48902,-0.17524
"Crinan Street, King's Cross",431,51.534474,-0.122203
"Erin Close, Walham Green",691,51.479463,-0.195777
"Cadogan Close, Victoria Park",692,51.542118,-0.028941
"Felsham Road, Putney",693,51.464786,-0.215618
"Putney Rail Station, Putney",694,51.460717,-0.216526
"Islington Green, Angel",695,51.536384,-0.102757
"Charing Cross Hospital, Hammersmith",696,51.487285,-0.217995
"Charlotte Terrace, Angel",697,51.536392,-0.112721
"Shoreditch Court, Haggerston",698,51.539083,-0.070329
"Belford House, Haggerston",699,51.536654,-0.07023
"Battersea Church Road, Battersea",700,51.476964,-0.174347
"Vicarage Crescent, Battersea",701,51.472876,-0.176267
"Durant Street, Bethnal Green",702,51.528681,-0.06555
"St. Bride Street, Holborn",703,51.515059,-0.105344
"Mexfield Road, East Putney",704,51.45682,-0.202802
"Upper Richmond Road, Putney",705,51.459715,-0.212145
"Snowsfields, London Bridge",706,51.502153,-0.083632
"Barons Court Station, West Kensington",707,51.490217,-0.215087
"Disraeli Road, Putney",708,51.46161,-0.216145
"Montserrat Road , Putney",709,51.463211,-0.21555
"Albert Bridge Road, Battersea Park",710,51.474392,-0.163347
"Everington Street, Fulham",711,51.483356,-0.216305
"Mile End Stadium, Mile End",712,51.518541,-0.034903
"Hawley Crescent, Camden Town",713,51.541007,-0.14326
"Stewart's Road, Wandsworth Road",714,51.473116,-0.137235
"Aylward Street, Stepney",715,51.51563,-0.049067
"Stainsby Road , Poplar",716,51.515427,-0.023565
"Dunston Road , Haggerston",717,51.536585,-0.075885
"Ada Street, Hackney Central",718,51.535716,-0.060291
"Victoria Park Road, Hackney Central",719,51.536424,-0.054162
"Star Road, West Kensington",720,51.487244,-0.205279
"Wendon Street, Old Ford",721,51.536039,-0.026262
"Finnis Street, Bethnal Green",722,51.524583,-0.058631
"Stephendale Road, Sands End",723,51.46822,-0.190346
"Alma Road, Wandsworth",724,51.457991,-0.184806
"Walworth Square, Walworth",725,51.491327,-0.096518
"Alfreda Street, Battersea Park",726,51.47505,-0.150908
"Chesilton Road, Fulham",727,51.475698,-0.205876
"Putney Bridge Road, East Putney",728,51.461999,-0.20624
"St. Peter's Terrace, Fulham",729,51.478939,-0.208485
"Bridge Avenue, Hammersmith",730,51.492084,-0.229116
"Duke Street Hill, London Bridge",732,51.506304,-0.087262
"Park Lane, Mayfair",733,51.505426,-0.150817
"Plough Terrace, Clapham Junction",734,51.462305,-0.175407
"Grant Road East, Clapham Junction",735,51.464894,-0.173029
"Queensdale Road, Shepherd's Bush",736,51.50659,-0.216104
"Fulham Broadway, Walham Green",737,51.479932,-0.194116
"Imperial Road, Sands End",738,51.475142,-0.187278
"Hortensia Road, West Brompton",739,51.481765,-0.185273
"Sirdar Road, Avondale",740,51.510928,-0.214594
"Freston Road, Avondale",741,51.512981,-0.219486
"Blenheim Crescent, Ladbroke Grove",742,51.515108,-0.208565
"Oxford Road, Putney",743,51.460792,-0.212607
"Ingrave Street, Clapham Junction",744,51.467454,-0.172293
"Upcerne Road, West Chelsea",745,51.478169,-0.182435
"Lots Road, West Chelsea",746,51.479573,-0.179038
"Ormonde Gate, Chelsea",747,51.487964,-0.161765
"Hertford Road, De Beauvoir Town",748,51.537277,-0.079201
"Haggerston Road, Haggerston",749,51.539328,-0.074284
"Culvert Road, Battersea",750,51.471095,-0.15785
"Newton Street, Covent Garden",751,51.516128,-0.120909
"London Street, Paddington",752,51.515117,-0.173712
"Grenfell Road, Avondale",754,51.5129,-0.214762
"The Vale, Chelsea",755,51.485121,-0.174971
"Prince of Wales Drive, Battersea Park",756,51.475153,-0.159169
"Harcourt Terrace, West Brompton",757,51.487958,-0.187404
"Westbourne Park Road, Portobello",758,51.51787,-0.201005
"Broadley Terrace, Marylebone",759,51.524561,-0.165668
"Humbolt Road, Fulham",761,51.483217,-0.21186
"Storey's Gate, Westminster",762,51.500703,-0.129698
"Mile End Park Leisure Centre, Mile End",763,51.520597,-0.032566
"St. John's Road, Clapham Junction",764,51.462392,-0.168292
"Ranelagh Gardens, Fulham",765,51.467601,-0.206827
"Ram Street, Wandsworth",766,51.457529,-0.192165
"Santos Road, Wandsworth",767,51.457059,-0.200806
"Clapham Common North Side, Clapham Common",768,51.461343,-0.159322
"Sandilands Road, Walham Green",769,51.473611,-0.191803
"Gwendwr Road, West Kensington",770,51.491026,-0.209121
"Rifle Place, Avondale",771,51.509224,-0.216016
"Binfield Road, Stockwell",772,51.472509,-0.122831
"Tallis Street, Temple",773,51.511891,-0.107349
"Argyll Road, Kensington",168,51.500401,-0.195455
"Porchester Place, Paddington",169,51.514746,-0.165164
"Hardwick Street, Clerkenwell",170,51.527842,-0.108068
"Collingham Gardens, Earl's Court",171,51.491615,-0.186753
"Sumner Place, South Kensington",172,51.491211,-0.173715
"Waterloo Road, South Bank",173,51.50486,-0.113001
"Strand, Strand",174,51.512582,-0.115057
"Worship Street, Shoreditch",175,51.521668,-0.079608
"Gloucester Terrace, Bayswater",176,51.517919,-0.188098
"Ashley Place, Victoria",177,51.49616,-0.140947
"Warwick Square, Pimlico",178,51.489856,-0.141923
"North Audley Street, Mayfair",180,51.512911,-0.153645
"Belgrave Square, Belgravia",181,51.499412,-0.152317
"Bell Street , Marylebone",182,51.522029,-0.165842
"Riverlight North, Nine Elms",183,51.482362,-0.136123
"Portland Place, Marylebone",184,51.520715,-0.145211
"Alderney Street, Pimlico",185,51.488057,-0.140741
"South Wharf Road, Paddington",186,51.517335,-0.17581
"Queen's Gate (South), South Kensington",187,51.492479,-0.178433
"Nutford Place, Marylebone",188,51.516517,-0.164393
"Claremont Square, Angel",189,51.531666,-0.109914
"Rampayne Street, Pimlico",190,51.489975,-0.132845
"Hyde Park Corner, Hyde Park",191,51.503117,-0.15352
"Wardour Street, Soho",192,51.512515,-0.133201
"Bankside Mix, Bankside",193,51.505817,-0.100186
"Hop Exchange, The Borough",194,51.504627,-0.091773
"Milroy Walk, South Bank",195,51.507244,-0.106237
"Union Street, The Borough",196,51.503688,-0.098497
"Stamford Street, South Bank",197,51.505569,-0.111606
"Great Tower Street, Monument",199,51.510484,-0.082989
"LMU Commercial Road, Whitechapel",200,51.514924,-0.066078
"Dorset Square, Marylebone",201,51.522596,-0.161113
"Leman Street, Aldgate",202,51.512363,-0.069542
"West Smithfield Rotunda, Farringdon",203,51.518218,-0.100791
"Margery Street, Clerkenwell",204,51.526599,-0.112432
"New Road 1 , Whitechapel",206,51.518154,-0.062697
